16,425;16,27
59,350;16,17
59,500;27,28
103,275;7,17
103,575;28,38
146,200;7,8
146,350;17,18
146,500;28,29
146,650;38,39
190,125;0,8
190,425;18,29
190,725;39,47
233,50;0,1
233,200;8,9
233,350;18,19
233,500;29,30
233,650;39,40
233,800;47,48
276,275;9,19
276,575;30,40
319,50;1,2
319,200;9,10
319,350;19,20
319,500;30,31
319,650;40,41
319,800;48,49
363,125;2,10
363,425;20,31
363,725;41,49
406,50;2,3
406,200;10,11
406,350;20,21
406,500;31,32
406,650;41,42
406,800;49,50
450,275;11,21
450,575;32,42
493,50;3,4
493,200;11,12
493,350;21,22
493,500;32,33
493,650;42,43
493,800;50,51
536,125;4,12
536,425;22,33
536,725;43,51
579,50;4,5
579,200;12,13
579,350;22,23
579,500;33,34
579,650;43,44
579,800;51,52
623,275;13,23
623,575;34,44
666,50;5,6
666,200;13,14
666,350;23,24
666,500;34,35
666,650;44,45
666,800;52,53
709,125;6,14
709,425;24,35
709,725;45,53
752,200;14,15
752,350;24,25
752,500;35,36
752,650;45,46
796,275;15,25
796,575;36,46
839,350;25,26
839,500;36,37
883,425;26,37
